url,artist,title,year
https://www.youtube.com/watch?v=eGsreAQepAQ,Big Day,W dzień gorącego lata,1997
https://www.youtube.com/watch?v=DyDfgMOUjCI,Billie Eilish,Bad Guy,2019
https://www.youtube.com/watch?v=EgBJmlPo8Xw,Billie Eilish,Everything I Wanted,2019
https://www.youtube.com/watch?v=cW8VLC9nnTo,Billie Eilish,What Was I Made For?,2023
https://www.youtube.com/watch?v=THflqYOqm3A,Billie Holiday,Summertime,1947
https://www.youtube.com/watch?v=y4bZu56EylA,Billie Holiday,Blue Moon,1952
https://www.youtube.com/watch?v=bKNtP1zOVHw,Billie Holiday,God Bless the Child,1941
https://www.youtube.com/watch?v=gxEPV4kolz0,Billy Joel,Piano Man,1973
https://www.youtube.com/watch?v=hCuMWrfXG4E,Billy Joel,Uptown Girl,1983
https://www.youtube.com/watch?v=v5ryZdpEHqM,Bing Crosby,White Christmas,1959
https://www.youtube.com/watch?v=gGCNfANKQbs,Bing Crosby,Dream a Little Dream of Me,1946
https://www.youtube.com/watch?v=ZaI2IlHwmgQ,Black Eyed Peas,Pump It,2005
https://www.youtube.com/watch?v=WpYeekQkAdc,Black Eyed Peas,Where Is the Love?,2003
https://www.youtube.com/watch?v=uSD4vsh1zDA,Black Eyed Peas,I Gotta Feeling,2009
https://www.youtube.com/watch?v=0qanF-91aJo,Black Sabbath,Paranoid,1970
https://www.youtube.com/watch?v=eP5wNDeGqLk,Blenders,Ciągnik,1996
https://www.youtube.com/watch?v=TsKOUyFldH4,Blenders,Owca,1997
https://www.youtube.com/watch?v=WGU_4-5RaxU,Blondie,Heart of Glass,1978
https://www.youtube.com/watch?v=StKVS0eI85I,Blondie,Call Me,1980
https://www.youtube.com/watch?v=FIXIsYWS8CA,Blondie,One Way or Another,1978
https://www.youtube.com/watch?v=SSbBvKaM6sk,Blur,Song 2,1997
https://www.youtube.com/watch?v=MMFj8uDubsE,Bob Dylan,Blowin' in the Wind,1963
https://www.youtube.com/watch?v=IT8XvzIfi4U,Bob Marley,No Woman No Cry,1975
https://www.youtube.com/watch?v=vx2u5uUu3DE,Bon Jovi,It's My Life,2000
https://www.youtube.com/watch?v=lDK9QqIzhwk,Bon Jovi,Livin’ on a Prayer,1986
https://www.youtube.com/watch?v=9BMwcO6_hyA,Bon Jovi,Always,1985
https://www.youtube.com/watch?v=16y1AkoZkmQ,Boney M.,Rasputin,1978
https://www.youtube.com/watch?v=FYGTT7YhywA,Boney M.,Daddy Cool,1976
https://www.youtube.com/watch?v=f3XcNskAxp0,Boney M.,Ma Baker,1977
https://www.youtube.com/watch?v=lcOxhH8N3Bo,Bonnie Tyler,Total Eclipse of the Heart,1983
https://www.youtube.com/watch?v=SG8B4DT6ud8,Brathanki,Czerwone korale,2000
https://www.youtube.com/watch?v=mv41zHIQIVM,Breakout,"Gdybyś kochał, hej",1969
https://www.youtube.com/watch?v=lWXSUuosxtk,Breakout,Kiedy byłem małym chłopcem,1971
https://www.youtube.com/watch?v=LOZuxwVk7TU,Britney Spears,Toxic,2003
https://www.youtube.com/watch?v=C-u5WLJ9Yk4,Britney Spears,Baby One More Time,1998
https://www.youtube.com/watch?v=D1CjdBPmIzg,BrodkA,Granda,2010
https://www.youtube.com/watch?v=IxuThNgl3YA,Bruce Springsteen,Born to Run,1975
https://www.youtube.com/watch?v=LjhCEhWiKXk,Bruno Mars,Just the Way You Are,2010
https://www.youtube.com/watch?v=OPf0YbXqDm0,Bruno Mars,Uptown Funk,2014
https://www.youtube.com/watch?v=UqyT8IEBkvY,Bruno Mars,24K Magic,2016
https://www.youtube.com/watch?v=gdZLi9oWNZg,BTS,Dynamite,2020
https://www.youtube.com/watch?v=WMweEpGlu_U,BTS,Butter,2021
https://www.youtube.com/watch?v=CuklIb9d3fI,BTS,Permission to Dance,2021
https://www.youtube.com/watch?v=M4TfFTmITLo,Buddy Holly,That'll Be the Day,1956
https://www.youtube.com/watch?v=fYKfvvwsoAY,Budka Suflera,"Jolka, Jolka pamiętasz",1984
https://www.youtube.com/watch?v=_4_p3FM88jA,Budka Suflera,Takie tango,1997
https://www.youtube.com/watch?v=kE87oI5rdew,Budka Suflera,Bal wszystkich świętych,2000
https://www.youtube.com/watch?v=sw1QACt6OHs,Budka Suflera,Adam i Ewa,2000
https://www.youtube.com/watch?v=Vs6Xfhu3e9Y,C-Bool,Would You Feel,2004
https://www.youtube.com/watch?v=250MMq0fTrU,Cab Calloway,Minnie the Moocher,1931
https://www.youtube.com/watch?v=fEyEcHX8WLo,Cab Calloway,St. James Infirmary Blues,1943
https://www.youtube.com/watch?v=ebXbLfLACGM,Calvin Harris,Summer,2014
https://www.youtube.com/watch?v=dGghkjpNCQ8,Calvin Harris,Feel So Close,2010
https://www.youtube.com/watch?v=DkeiKbqa02g,Calvin Harris,One Kiss,2018
https://www.youtube.com/watch?v=VkKxmnrRVHo,Carole King,It's Too Late,1985
https://www.youtube.com/watch?v=eAR_Ff5A8Rk,Carole King,You’ve Got a Friend,1971
https://www.youtube.com/watch?v=o2qosA_tpSc,Carpe Diem,Teraz wiem,2002
https://www.youtube.com/watch?v=4uYFY7jdQGs,Carpe Diem,Życie jak poemat,2005
https://www.youtube.com/watch?v=9bFHsd3o1w0,Celine Dion,My Heart Will Go On,1997
https://www.youtube.com/watch?v=9n3A_-HRFfc,Cher,If I Could Turn Back Time,1989
https://www.youtube.com/watch?v=nZXRV4MezEw,Cher,Believe,1998
